HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3EF8EXOTT5D4LIC3Y32DO43S5F3J1G,AOF2CAD9DKPAW,Submitted,Fri Nov 29 10:25:43 PST 2019,Fri Nov 29 10:26:08 PST 2019,Sat Nov 30 10:26:08 PST 2019,25,0% (0/0),0% (0/0),0% (0/0),"[{""height"":164,""label"":""No Need to Do this Label"",""left"":149,""top"":426,""width"":405}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3KOPY89HMCK0VLQIL7GWCXIP3ZHJ38,A28QOYIO3C8WFY,Submitted,Fri Nov 29 10:25:57 PST 2019,Fri Nov 29 10:26:45 PST 2019,Sat Nov 30 10:26:45 PST 2019,48,0% (0/0),0% (0/0),0% (0/0),"[{""height"":155,""label"":""No Need to Do this Label"",""left"":145,""top"":427,""width"":401}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3N8OEVH1FV83ILA1KIST8WXMXKNOOR,A3P4YJ973EXW4J,Submitted,Fri Nov 29 10:26:19 PST 2019,Fri Nov 29 10:26:49 PST 2019,Sat Nov 30 10:26:49 PST 2019,30,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":145,""top"":428,""width"":401}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3JRJSWSMQL3SK54Q7655FH5XYRM3E8,A3E3LZ5ZNH8K81,Submitted,Fri Nov 29 10:27:07 PST 2019,Fri Nov 29 10:27:42 PST 2019,Sat Nov 30 10:27:42 PST 2019,35,0% (0/0),0% (0/0),0% (0/0),"[{""height"":161,""label"":""No Need to Do this Label"",""left"":134,""top"":428,""width"":412}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3TY7ZAOG5J2ZPDX3K5YPBEKVFCY0KU,ADI2ET16Y15O7,Submitted,Fri Nov 29 10:26:51 PST 2019,Fri Nov 29 10:27:58 PST 2019,Sat Nov 30 10:27:58 PST 2019,67,0% (0/0),0% (0/0),0% (0/0),"[{""height"":184,""label"":""No Need to Do this Label"",""left"":142,""top"":403,""width"":405}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3DIP6YHAPGAEL2AWJN016YD8EDE8E5,AQKLYP4ZA2YZX,Submitted,Fri Nov 29 10:27:48 PST 2019,Fri Nov 29 10:28:21 PST 2019,Sat Nov 30 10:28:21 PST 2019,33,0% (0/0),0% (0/0),0% (0/0),"[{""height"":199,""label"":""No Need to Do this Label"",""left"":117,""top"":393,""width"":474}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3OE22WJIGM61G27EVHW6W7KBU7TQUE,A1YG56R57AYCOG,Submitted,Fri Nov 29 10:26:48 PST 2019,Fri Nov 29 10:28:32 PST 2019,Sat Nov 30 10:28:32 PST 2019,104,0% (0/0),0% (0/0),0% (0/0),"[{""height"":158,""label"":""No Need to Do this Label"",""left"":143,""top"":424,""width"":404}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3WQQ9FUS6ECGEZYC9WYB5Q7NBG18B5,A34CEVCUT6TALC,Submitted,Fri Nov 29 10:27:39 PST 2019,Fri Nov 29 10:28:32 PST 2019,Sat Nov 30 10:28:32 PST 2019,53,0% (0/0),0% (0/0),0% (0/0),"[{""height"":150,""label"":""No Need to Do this Label"",""left"":145,""top"":430,""width"":401}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3UN61F00H07K7OWZ7VDYTL20RC35RD,A242WNS5S5CHOY,Submitted,Fri Nov 29 10:28:55 PST 2019,Fri Nov 29 10:29:21 PST 2019,Sat Nov 30 10:29:21 PST 2019,26,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":143,""top"":427,""width"":412}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,36AHBNMV1VUO82NE0WNBZTJP7GFYDF,AOEO9ZV81R0I4,Submitted,Fri Nov 29 10:29:04 PST 2019,Fri Nov 29 10:29:33 PST 2019,Sat Nov 30 10:29:33 PST 2019,29,0% (0/0),0% (0/0),0% (0/0),"[{""height"":151,""label"":""No Need to Do this Label"",""left"":146,""top"":427,""width"":398}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,37U1UTWH9Z43U6F15TK155CRT23R80,A159VRVTSJ5SQ1,Submitted,Fri Nov 29 10:28:59 PST 2019,Fri Nov 29 10:29:51 PST 2019,Sat Nov 30 10:29:51 PST 2019,52,0% (0/0),0% (0/0),0% (0/0),"[{""height"":161,""label"":""No Need to Do this Label"",""left"":150,""top"":426,""width"":397}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,384PI804XWJXDWABPE7R20B5W6B0SB,A2NXMRPHG86N2T,Submitted,Fri Nov 29 10:28:57 PST 2019,Fri Nov 29 10:30:17 PST 2019,Sat Nov 30 10:30:17 PST 2019,80,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":145,""top"":426,""width"":398}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3BDCF01OG1C76EB6DDLZI6RUGPHYLV,A1G5UODTVW13MM,Submitted,Fri Nov 29 10:30:06 PST 2019,Fri Nov 29 10:30:37 PST 2019,Sat Nov 30 10:30:37 PST 2019,31,0% (0/0),0% (0/0),0% (0/0),"[{""height"":153,""label"":""No Need to Do this Label"",""left"":146,""top"":426,""width"":397}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,3W92K5RLWYZC0VDGGFI8UIR3CIG5V6,A30DLV6YJBXWHA,Submitted,Fri Nov 29 10:29:55 PST 2019,Fri Nov 29 10:30:59 PST 2019,Sat Nov 30 10:30:59 PST 2019,64,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":148,""top"":430,""width"":396}]",683,1024,,
3KVQ0UJWQ03NT0FSGNI2R0FSD9U5W6,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 10:23:40 PST 2019,100,BatchId:3852927;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 10:23:40 PST 2019,33CKWXB73N2XQ1WZ8EW7K476BY411V,A38C248EW32LTS,Submitted,Fri Nov 29 10:29:36 PST 2019,Fri Nov 29 10:31:15 PST 2019,Sat Nov 30 10:31:15 PST 2019,99,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":144,""top"":426,""width"":401}]",683,1024,,
